Rank 0 k8N5R_4j3Vc|| PageRank Score: 0.000285525|| Category: Sports|| Length: 281|| Views: 13133|| Ratings: 37|| Rate: 4.78|| Comments: 0
Rank 39 DPstUkiOhTY|| PageRank Score: 7.28218e-05|| Category: Sports|| Length: 592|| Views: 7936|| Ratings: 21|| Rate: 4.57|| Comments: 9
Rank 40 ncjh41js6Zg|| PageRank Score: 6.863e-05|| Category: Sports|| Length: 462|| Views: 610|| Ratings: 4|| Rate: 5|| Comments: 2
Rank 41 _PW1d685yyo|| PageRank Score: 6.81371e-05|| Category: Comedy|| Length: 19|| Views: 125|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 42 YXZRSr9kAZ0|| PageRank Score: 6.76831e-05|| Category: Sports|| Length: 45|| Views: 3684|| Ratings: 7|| Rate: 5|| Comments: 11
Rank 43 VGcIVvKdYUo|| PageRank Score: 6.73527e-05|| Category: Sports|| Length: 390|| Views: 642|| Ratings: 3|| Rate: 5|| Comments: 5
Rank 44 jvcoVJgjGC8|| PageRank Score: 6.53539e-05|| Category: Sports|| Length: 309|| Views: 1967|| Ratings: 17|| Rate: 5|| Comments: 11
Rank 45 3YXYh81RZFw|| PageRank Score: 6.51377e-05|| Category: Entertainment|| Length: 297|| Views: 6708|| Ratings: 67|| Rate: 4.9|| Comments: 68
Rank 46 7fpaO6I9SZI|| PageRank Score: 6.44743e-05|| Category: Sports|| Length: 105|| Views: 4374|| Ratings: 33|| Rate: 5|| Comments: 18
Rank 47 b6KLoxpPJJQ|| PageRank Score: 6.402e-05|| Category: Sports|| Length: 517|| Views: 4292|| Ratings: 12|| Rate: 4.67|| Comments: 5
Rank 48 4jbgdU51Utg|| PageRank Score: 6.31506e-05|| Category: People|| Length: 371|| Views: 5086|| Ratings: 22|| Rate: 4.18|| Comments: 15
Rank 49 d-VmEiMEJEM|| PageRank Score: 6.27643e-05|| Category: Sports|| Length: 861|| Views: 2206|| Ratings: 11|| Rate: 4.55|| Comments: 4
Rank 50 1kJhuKvgkzY|| PageRank Score: 6.18246e-05|| Category: Sports|| Length: 473|| Views: 1760|| Ratings: 9|| Rate: 4.89|| Comments: 9
Rank 51 ugX0t3qzzbc|| PageRank Score: 6.18018e-05|| Category: Music|| Length: 331|| Views: 374|| Ratings: 3|| Rate: 5|| Comments: 1
Rank 52 lsnf79GIa3E|| PageRank Score: 6.1109e-05|| Category: Music|| Length: 339|| Views: 790|| Ratings: 3|| Rate: 3.33|| Comments: 0
Rank 53 ffAvVf4_jOM|| PageRank Score: 6.10745e-05|| Category: Music|| Length: 401|| Views: 3449|| Ratings: 27|| Rate: 4.74|| Comments: 19
Rank 54 nCS9Rftc__w|| PageRank Score: 6.10745e-05|| Category: Music|| Length: 537|| Views: 167|| Ratings: 4|| Rate: 4.75|| Comments: 2
Rank 55 9yQzTxblesw|| PageRank Score: 6.09489e-05|| Category: Music|| Length: 252|| Views: 136|| Ratings: 0|| Rate: 0|| Comments: 1
Rank 56 zaog6cjDyIk|| PageRank Score: 6.08053e-05|| Category: Sports|| Length: 45|| Views: 4370|| Ratings: 8|| Rate: 5|| Comments: 6
Rank 57 jN3odhcRxX8|| PageRank Score: 5.93687e-05|| Category: Music|| Length: 218|| Views: 2994|| Ratings: 13|| Rate: 4.69|| Comments: 15
Rank 58 aazAz_Gbfsw|| PageRank Score: 5.84306e-05|| Category: Music|| Length: 249|| Views: 117|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 59 fQtCkXV_pnI|| PageRank Score: 5.82539e-05|| Category: Sports|| Length: 280|| Views: 1683|| Ratings: 6|| Rate: 4.33|| Comments: 0
Rank 60 unA1Fg_7ez0|| PageRank Score: 5.78422e-05|| Category: Music|| Length: 319|| Views: 8310|| Ratings: 66|| Rate: 4.71|| Comments: 52
Rank 61 CJUjjjkvwj0|| PageRank Score: 5.67457e-05|| Category: Music|| Length: 123|| Views: 3037|| Ratings: 20|| Rate: 4.75|| Comments: 9
Rank 62 Itl7BL7xiTw|| PageRank Score: 5.65632e-05|| Category: Sports|| Length: 264|| Views: 1600|| Ratings: 5|| Rate: 4|| Comments: 0
Rank 63 SkS0_wz_-IU|| PageRank Score: 5.65519e-05|| Category: Autos|| Length: 191|| Views: 4235|| Ratings: 10|| Rate: 4.1|| Comments: 6
Rank 64 91NH3QVGJg8|| PageRank Score: 5.65478e-05|| Category: Comedy|| Length: 18|| Views: 70|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 65 8JtE4A4gUks|| PageRank Score: 5.62996e-05|| Category: Sports|| Length: 300|| Views: 1278|| Ratings: 2|| Rate: 4|| Comments: 0
Rank 66 2nf9yEY6tIk|| PageRank Score: 5.59342e-05|| Category: Sports|| Length: 494|| Views: 8447|| Ratings: 23|| Rate: 4.74|| Comments: 9
Rank 67 TrIqXc4bf6U|| PageRank Score: 5.58417e-05|| Category: Autos|| Length: 80|| Views: 13655|| Ratings: 22|| Rate: 4.55|| Comments: 13
Rank 68 WH_tQXNBpws|| PageRank Score: 5.55355e-05|| Category: News|| Length: 349|| Views: 313|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 69 joe71Txm-bc|| PageRank Score: 5.55355e-05|| Category: People|| Length: 212|| Views: 133|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 70 9B-GFaw1pCI|| PageRank Score: 5.55355e-05|| Category: News|| Length: 541|| Views: 87|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 71 aNU0P1uA9kI|| PageRank Score: 5.55355e-05|| Category: Film|| Length: 170|| Views: 301|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 72 XciIDSDWNIc|| PageRank Score: 5.55355e-05|| Category: People|| Length: 136|| Views: 513|| Ratings: 2|| Rate: 4|| Comments: 0
Rank 73 EcVkfv1Aol4|| PageRank Score: 5.55355e-05|| Category: People|| Length: 391|| Views: 45|| Ratings: 0|| Rate: 0|| Comments: 1
Rank 74 iPq5gh6aXss|| PageRank Score: 5.55355e-05|| Category: News|| Length: 367|| Views: 165|| Ratings: 3|| Rate: 5|| Comments: 0
Rank 75 qMkW5zZuiV8|| PageRank Score: 5.52524e-05|| Category: Music|| Length: 283|| Views: 822|| Ratings: 16|| Rate: 4.94|| Comments: 7
Rank 76 or1ugHGTz2w|| PageRank Score: 5.52524e-05|| Category: Film|| Length: 239|| Views: 1955|| Ratings: 15|| Rate: 5|| Comments: 22
Rank 77 UnekXjrj99A|| PageRank Score: 5.51996e-05|| Category: Autos|| Length: 32|| Views: 8611|| Ratings: 12|| Rate: 4.83|| Comments: 5
Rank 78 YLWZQl2Kc_Q|| PageRank Score: 5.42882e-05|| Category: Autos|| Length: 86|| Views: 2476|| Ratings: 7|| Rate: 4.71|| Comments: 3
Rank 79 BOrNjmxGd7c|| PageRank Score: 5.42751e-05|| Category: Sports|| Length: 295|| Views: 134|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 80 pfJcJJ85ics|| PageRank Score: 5.32463e-05|| Category: People|| Length: 87|| Views: 349|| Ratings: 1|| Rate: 5|| Comments: 0
Rank 81 rZlakD-lkj4|| PageRank Score: 5.31638e-05|| Category: Entertainment|| Length: 180|| Views: 7538|| Ratings: 88|| Rate: 3.56|| Comments: 29
Rank 82 PKlx8HaBPxA|| PageRank Score: 5.277e-05|| Category: Music|| Length: 218|| Views: 3263|| Ratings: 30|| Rate: 4.53|| Comments: 10
Rank 83 4vNTmaWvhiQ|| PageRank Score: 5.26661e-05|| Category: Sports|| Length: 58|| Views: 7475|| Ratings: 21|| Rate: 5|| Comments: 27
Rank 84 j_fu0xY4Brc|| PageRank Score: 5.2538e-05|| Category: Sports|| Length: 277|| Views: 1769|| Ratings: 2|| Rate: 3|| Comments: 2
Rank 85 65sSzq9Jftc|| PageRank Score: 5.23855e-05|| Category: Sports|| Length: 45|| Views: 2681|| Ratings: 2|| Rate: 5|| Comments: 7
Rank 86 QSzkE9lHHzo|| PageRank Score: 5.20435e-05|| Category: Sports|| Length: 126|| Views: 5053|| Ratings: 9|| Rate: 4.56|| Comments: 2
Rank 87 8dkNfbZhtPo|| PageRank Score: 5.19023e-05|| Category: Entertainment|| Length: 168|| Views: 1996|| Ratings: 34|| Rate: 3.18|| Comments: 22
Rank 88 7FxPrqr4GJE|| PageRank Score: 5.19023e-05|| Category: Entertainment|| Length: 173|| Views: 2144|| Ratings: 35|| Rate: 3.17|| Comments: 14
Rank 89 BBIdxvRvNtY|| PageRank Score: 5.19023e-05|| Category: Entertainment|| Length: 178|| Views: 1427|| Ratings: 32|| Rate: 2.53|| Comments: 10
Rank 90 eY1lX2WxKbw|| PageRank Score: 5.19023e-05|| Category: Music|| Length: 173|| Views: 2291|| Ratings: 40|| Rate: 3.23|| Comments: 15
Rank 91 nTzkeHF5xRY|| PageRank Score: 5.19023e-05|| Category: Entertainment|| Length: 137|| Views: 2470|| Ratings: 54|| Rate: 2.67|| Comments: 14
Rank 92 MUjaFnoZ2Fg|| PageRank Score: 5.19023e-05|| Category: Entertainment|| Length: 160|| Views: 2385|| Ratings: 35|| Rate: 2.37|| Comments: 8
Rank 93 SCf9gJD39zc|| PageRank Score: 5.16988e-05|| Category: Music|| Length: 94|| Views: 507|| Ratings: 0|| Rate: 0|| Comments: 2
Rank 94 HSP3SuXPZmo|| PageRank Score: 5.16249e-05|| Category: Sports|| Length: 400|| Views: 340|| Ratings: 0|| Rate: 0|| Comments: 1
Rank 95 hJBHBTjxj5Q|| PageRank Score: 5.12392e-05|| Category: Sports|| Length: 196|| Views: 8158|| Ratings: 26|| Rate: 3.96|| Comments: 3
Rank 96 2deI2st3b3k|| PageRank Score: 5.10046e-05|| Category: Music|| Length: 220|| Views: 252|| Ratings: 1|| Rate: 2|| Comments: 0
Rank 97 2gi0ro5Bko4|| PageRank Score: 5.08409e-05|| Category: Entertainment|| Length: 303|| Views: 698|| Ratings: 14|| Rate: 4.86|| Comments: 1
Rank 98 BqK5-AjiYpg|| PageRank Score: 5.08318e-05|| Category: People|| Length: 524|| Views: 27|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 99 4KM-an5fc3E|| PageRank Score: 5.08318e-05|| Category: People|| Length: 513|| Views: 25|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 100 GfnM_Bhu-dw|| PageRank Score: 5.07851e-05|| Category: Sports|| Length: 85|| Views: 8597|| Ratings: 28|| Rate: 4.64|| Comments: 10
Rank 101 IFed3MzC9VI|| PageRank Score: 5.06409e-05|| Category: Entertainment|| Length: 167|| Views: 1083|| Ratings: 27|| Rate: 3.44|| Comments: 10
Rank 102 wp_pOO2_3mc|| PageRank Score: 5.06409e-05|| Category: Entertainment|| Length: 179|| Views: 2152|| Ratings: 38|| Rate: 2.34|| Comments: 13
Rank 103 uxDnN_NAgHU|| PageRank Score: 5.06409e-05|| Category: Entertainment|| Length: 178|| Views: 1280|| Ratings: 31|| Rate: 2.61|| Comments: 6
Rank 104 ZPQEttD_83k|| PageRank Score: 5.04706e-05|| Category: Comedy|| Length: 24|| Views: 64|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 105 SEOU4NTrKus|| PageRank Score: 5.04706e-05|| Category: Film|| Length: 268|| Views: 45|| Ratings: 1|| Rate: 1|| Comments: 0
Rank 106 dhbT0IHHmJY|| PageRank Score: 5.03961e-05|| Category: Sports|| Length: 66|| Views: 1418|| Ratings: 5|| Rate: 5|| Comments: 4
Rank 107 z90NsQtHZt4|| PageRank Score: 5.00826e-05|| Category: Sports|| Length: 333|| Views: 7668|| Ratings: 14|| Rate: 4.93|| Comments: 5
Rank 108 KjrpufxT4h4|| PageRank Score: 4.99874e-05|| Category: Music|| Length: 42|| Views: 2891|| Ratings: 5|| Rate: 4.6|| Comments: 5
Rank 109 eGxav07byY8|| PageRank Score: 4.9752e-05|| Category: Entertainment|| Length: 49|| Views: 479|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 110 gGT_MvmzkBQ|| PageRank Score: 4.94732e-05|| Category: Sports|| Length: 62|| Views: 3459|| Ratings: 11|| Rate: 5|| Comments: 0
Rank 111 cXCVw_8Y1Mk|| PageRank Score: 4.94561e-05|| Category: Music|| Length: 145|| Views: 620|| Ratings: 6|| Rate: 4.83|| Comments: 4
Rank 112 u8WCA3hDc3Y|| PageRank Score: 4.94561e-05|| Category: Music|| Length: 472|| Views: 1371|| Ratings: 21|| Rate: 4.86|| Comments: 15
Rank 113 AAVIWbX_J9o|| PageRank Score: 4.94561e-05|| Category: Music|| Length: 21|| Views: 316|| Ratings: 1|| Rate: 4|| Comments: 0
Rank 114 RvU3iKLA5qo|| PageRank Score: 4.94561e-05|| Category: Music|| Length: 170|| Views: 398|| Ratings: 3|| Rate: 3.67|| Comments: 0
Rank 115 GTe8um7sVxY|| PageRank Score: 4.94561e-05|| Category: Music|| Length: 66|| Views: 121|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 116 c-JQQZV3N8Q|| PageRank Score: 4.93889e-05|| Category: Sports|| Length: 473|| Views: 607|| Ratings: 4|| Rate: 5|| Comments: 3
Rank 117 d_3ZWmLkOqQ|| PageRank Score: 4.91886e-05|| Category: Entertainment|| Length: 50|| Views: 4284|| Ratings: 8|| Rate: 5|| Comments: 18
Rank 118 g0huJAai1Io|| PageRank Score: 4.91778e-05|| Category: Music|| Length: 220|| Views: 5803|| Ratings: 10|| Rate: 4.9|| Comments: 13
Rank 119 BAvCf0ezH7A|| PageRank Score: 4.91725e-05|| Category: Music|| Length: 218|| Views: 901|| Ratings: 6|| Rate: 5|| Comments: 3
Rank 120 HKEalLZu7Ys|| PageRank Score: 4.9129e-05|| Category: Entertainment|| Length: 290|| Views: 1355|| Ratings: 22|| Rate: 5|| Comments: 8
Rank 121 uLrM37hNd5k|| PageRank Score: 4.90341e-05|| Category: Sports|| Length: 68|| Views: 7140|| Ratings: 11|| Rate: 3.91|| Comments: 10
Rank 122 kLz0MwdOYCw|| PageRank Score: 4.90097e-05|| Category: Entertainment|| Length: 218|| Views: 3584|| Ratings: 47|| Rate: 4.91|| Comments: 34
Rank 123 IZY-90-l_PI|| PageRank Score: 4.89964e-05|| Category: Entertainment|| Length: 30|| Views: 6678|| Ratings: 7|| Rate: 5|| Comments: 6
Rank 124 vfYexLGju_E|| PageRank Score: 4.87114e-05|| Category: Film|| Length: 66|| Views: 1600|| Ratings: 11|| Rate: 4.09|| Comments: 11
Rank 125 Sz2xE_h2KQY|| PageRank Score: 4.86856e-05|| Category: Autos|| Length: 16|| Views: 2571|| Ratings: 3|| Rate: 5|| Comments: 1
Rank 126 V-YTFMDoYlY|| PageRank Score: 4.86548e-05|| Category: Autos|| Length: 52|| Views: 675|| Ratings: 2|| Rate: 5|| Comments: 0
Rank 127 Mu8FdmX7Ih8|| PageRank Score: 4.86142e-05|| Category: Music|| Length: 415|| Views: 1436|| Ratings: 19|| Rate: 4.79|| Comments: 20
Rank 128 oqXsXg4M7Js|| PageRank Score: 4.85354e-05|| Category: Music|| Length: 288|| Views: 166|| Ratings: 1|| Rate: 5|| Comments: 0
Rank 129 6mZeMCtsojs|| PageRank Score: 4.85354e-05|| Category: Music|| Length: 276|| Views: 2688|| Ratings: 31|| Rate: 4.81|| Comments: 25
Rank 130 eUwVIGBVCoc|| PageRank Score: 4.81938e-05|| Category: People|| Length: 497|| Views: 22|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 131 V648LqIQY-E|| PageRank Score: 4.81614e-05|| Category: Music|| Length: 88|| Views: 2173|| Ratings: 3|| Rate: 5|| Comments: 11
Rank 132 MLfJIQ8WzmA|| PageRank Score: 4.77761e-05|| Category: Sports|| Length: 41|| Views: 2516|| Ratings: 4|| Rate: 5|| Comments: 0
Rank 133 1X9RnPQCSEI|| PageRank Score: 4.7737e-05|| Category: Entertainment|| Length: 49|| Views: 217|| Ratings: 0|| Rate: 0|| Comments: 1
Rank 134 8G30r5gGhCI|| PageRank Score: 4.7737e-05|| Category: Entertainment|| Length: 30|| Views: 214|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 135 87RTBtaMu5Y|| PageRank Score: 4.75715e-05|| Category: Gadgets|| Length: 550|| Views: 2715|| Ratings: 26|| Rate: 4.54|| Comments: 24
Rank 136 Ux7pmjMbm5I|| PageRank Score: 4.73917e-05|| Category: Sports|| Length: 121|| Views: 1141|| Ratings: 5|| Rate: 5|| Comments: 4
Rank 137 nmn0OAZDexQ|| PageRank Score: 4.72457e-05|| Category: Entertainment|| Length: 30|| Views: 135|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 138 -cygzeUs3LA|| PageRank Score: 4.72331e-05|| Category: Entertainment|| Length: 49|| Views: 669|| Ratings: 3|| Rate: 4.33|| Comments: 3
Rank 139 HAiM9L1xHws|| PageRank Score: 4.72135e-05|| Category: Music|| Length: 28|| Views: 68|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 140 OPuaFZX5LPs|| PageRank Score: 4.72135e-05|| Category: Music|| Length: 67|| Views: 120|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 141 LibtYsKSQrY|| PageRank Score: 4.72135e-05|| Category: Music|| Length: 253|| Views: 653|| Ratings: 6|| Rate: 4.33|| Comments: 8
Rank 142 fsctgz-YkKg|| PageRank Score: 4.72135e-05|| Category: Music|| Length: 174|| Views: 233|| Ratings: 1|| Rate: 5|| Comments: 1
Rank 143 8CG_gRbCyn8|| PageRank Score: 4.72135e-05|| Category: Music|| Length: 27|| Views: 86|| Ratings: 0|| Rate: 0|| Comments: 1
Rank 144 IMLs5w8QGZQ|| PageRank Score: 4.72135e-05|| Category: Entertainment|| Length: 71|| Views: 2299|| Ratings: 13|| Rate: 5|| Comments: 13
Rank 145 Oyh7gxEzyvI|| PageRank Score: 4.72135e-05|| Category: Music|| Length: 15|| Views: 38|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 146 xn-S4VgIzlM|| PageRank Score: 4.69012e-05|| Category: Music|| Length: 148|| Views: 248|| Ratings: 5|| Rate: 5|| Comments: 1
Rank 147 6qWEgflXPgM|| PageRank Score: 4.6768e-05|| Category: Sports|| Length: 513|| Views: 2869|| Ratings: 12|| Rate: 5|| Comments: 10
Rank 148 T54LBpD6jd0|| PageRank Score: 4.66792e-05|| Category: Autos|| Length: 30|| Views: 3423|| Ratings: 2|| Rate: 5|| Comments: 2
Rank 149 XxJxETx8EKs|| PageRank Score: 4.66783e-05|| Category: Music|| Length: 526|| Views: 4236|| Ratings: 8|| Rate: 4.38|| Comments: 7
Rank 150 xFWttAGVv_A|| PageRank Score: 4.66071e-05|| Category: Sports|| Length: 23|| Views: 1200|| Ratings: 0|| Rate: 0|| Comments: 2
Rank 151 Sy1ZvkP8AtA|| PageRank Score: 4.63173e-05|| Category: Sports|| Length: 382|| Views: 7868|| Ratings: 13|| Rate: 4.77|| Comments: 8
Rank 152 TqzrGUcZ2J8|| PageRank Score: 4.60084e-05|| Category: People|| Length: 74|| Views: 194|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 153 uE8HOO6FrLU|| PageRank Score: 4.58769e-05|| Category: Entertainment|| Length: 67|| Views: 1046|| Ratings: 3|| Rate: 5|| Comments: 2
Rank 154 YSN3eH06Lp4|| PageRank Score: 4.58457e-05|| Category: Gadgets|| Length: 555|| Views: 3974|| Ratings: 31|| Rate: 4.68|| Comments: 62
Rank 155 bqTJ2kM_0-o|| PageRank Score: 4.55876e-05|| Category: Autos|| Length: 14|| Views: 77|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 156 mVL5zJSte28|| PageRank Score: 4.55841e-05|| Category: Gadgets|| Length: 416|| Views: 2579|| Ratings: 33|| Rate: 4.7|| Comments: 56
Rank 157 IbQGBY4c0ug|| PageRank Score: 4.54673e-05|| Category: Entertainment|| Length: 218|| Views: 126|| Ratings: 3|| Rate: 5|| Comments: 0
Rank 158 ubL5SbdT-HY|| PageRank Score: 4.52142e-05|| Category: Gadgets|| Length: 456|| Views: 2580|| Ratings: 33|| Rate: 4.76|| Comments: 50
Rank 159 LGsxQqO6wfw|| PageRank Score: 4.52021e-05|| Category: Music|| Length: 222|| Views: 1695|| Ratings: 3|| Rate: 5|| Comments: 0
Rank 160 A5_fG2K8ze4|| PageRank Score: 4.52021e-05|| Category: Music|| Length: 243|| Views: 2882|| Ratings: 2|| Rate: 4.5|| Comments: 2
Rank 161 -F4h3vWm158|| PageRank Score: 4.51129e-05|| Category: Entertainment|| Length: 30|| Views: 2663|| Ratings: 4|| Rate: 5|| Comments: 0
Rank 162 bjJZnlO9CLE|| PageRank Score: 4.48333e-05|| Category: Music|| Length: 105|| Views: 9119|| Ratings: 24|| Rate: 4.83|| Comments: 20
Rank 163 jloJn12ntx0|| PageRank Score: 4.48238e-05|| Category: Sports|| Length: 74|| Views: 1829|| Ratings: 3|| Rate: 5|| Comments: 5
Rank 164 Wdmmpv13pPM|| PageRank Score: 4.47673e-05|| Category: Comedy|| Length: 323|| Views: 701|| Ratings: 6|| Rate: 3.67|| Comments: 1
Rank 165 h4lezHZmJCE|| PageRank Score: 4.47003e-05|| Category: Entertainment|| Length: 287|| Views: 7600|| Ratings: 0|| Rate: 0|| Comments: 0
Rank 166 ipJD9IOtCXQ|| PageRank Score: 4.41075e-05|| Category: Autos|| Length: 113|| Views: 18864|| Ratings: 42|| Rate: 4.43|| Comments: 9
